c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22
41,14.311962,5.820381,20.132343,O,0.000006,6,0.000311,311,0.000165,165,0.000004,4,0.000151,151,O,0.000036,36,0.000245,245,0.000001,1
42,14.470506,6.009194,20.479700,O,0.000018,18,0.000544,544,0.000143,143,0.000005,5,0.000149,149,O,0.000044,44,0.000292,292,0.000001,1
43,14.683764,6.157198,20.840962,O,0.000018,18,0.000313,313,0.000142,142,0.000005,5,0.000137,137,O,0.000065,65,0.000271,271,0.000001,1
44,14.828408,6.300216,21.128624,O,0.000018,18,0.000354,354,0.000124,124,0.000005,5,0.000155,155,O,0.000045,45,0.000284,284,0.000001,1
45,14.909426,6.438045,21.347471,O,0.000018,18,0.000270,270,0.000139,139,0.000005,5,0.000253,253,O,0.000034,34,0.000264,264,0.000001,1
46,15.149460,6.521978,21.671438,O,0.000018,18,0.000310,310,0.000138,138,0.000006,6,0.000135,135,O,0.000043,43,0.000260,260,0.000001,1
47,15.283050,6.716029,21.999079,O,0.000018,18,0.000278,278,0.000126,126,0.000004,4,0.000126,126,O,0.000044,44,0.000249,249,0.000001,1
48,15.429578,6.822734,22.252312,O,0.000007,7,0.000291,291,0.000136,136,0.000005,5,0.000148,148,O,0.000035,35,0.000238,238,0.000001,1
49,15.443382,7.061011,22.504393,O,0.000018,18,0.000287,287,0.000137,137,0.000004,4,0.000147,147,O,0.000033,33,0.000269,269,0.000001,1
50,15.813042,7.083242,22.896284,O,0.000018,18,0.000318,318,0.000315,315,0.000015,15,0.000153,153,O,0.000043,43,0.000317,317,0.000001,1
